amount,method,customer_segment,time_of_day,day_of_week,cause_category,previous_failure_count,retry_count,subscription_flag,previous_recovery_history,self_recovered
199900,wallet,returning,10,1,card_expired,4,4,1,0.51,0
1499900,card,churned,5,1,insufficient_funds,10,2,0,0.09,0
149900,card,high_value,11,0,card_expired,5,2,0,0.16,0
299900,netbanking,churned,14,0,insufficient_funds,8,4,0,0.59,0
1499900,netbanking,churned,19,1,ambiguous_timeout,5,3,1,0.69,1
149900,card,high_value,10,6,card_expired,7,2,0,0.02,0
49900,card,new,4,3,bank_server_timeout,0,3,1,0.76,1
199900,card,churned,11,1,generic_decline,7,2,0,0.98,1
999900,card,high_value,20,3,generic_decline,11,2,1,0.48,0
999900,wallet,new,23,2,otp_timeout,6,4,0,0.52,1
99900,wallet,returning,17,1,insufficient_funds,6,3,1,0.46,0
299900,netbanking,high_value,20,1,generic_decline,0,0,0,0.76,1
999900,card,churned,2,3,ambiguous_timeout,3,2,1,0.83,1
49900,upi,returning,16,1,ambiguous_timeout,2,0,1,0.28,1
1499900,wallet,new,7,6,ambiguous_timeout,12,1,1,0.46,0
299900,card,returning,19,3,ambiguous_timeout,10,1,1,0.25,0
499900,upi,new,15,6,insufficient_funds,5,4,1,0.62,0
299900,netbanking,new,5,2,otp_timeout,8,3,0,0.58,0
99900,upi,high_value,7,3,otp_timeout,9,4,1,0.01,1
149900,card,returning,22,0,otp_timeout,9,5,1,0.93,0
49900,upi,returning,5,3,bank_server_timeout,4,0,0,0.61,1
49900,card,new,21,2,card_expired,3,1,0,0.23,0
499900,wallet,high_value,2,6,card_expired,9,5,0,0.0,0
199900,wallet,high_value,13,2,card_expired,3,0,1,0.61,0
49900,upi,churned,16,2,bank_server_timeout,6,4,1,0.21,0
49900,upi,returning,3,4,generic_decline,11,5,0,0.48,0
49900,upi,new,7,4,bank_server_timeout,10,4,0,0.69,0
299900,card,new,4,6,insufficient_funds,7,5,1,0.26,0
299900,upi,high_value,14,1,card_expired,5,5,1,0.69,0
149900,wallet,churned,22,3,insufficient_funds,6,0,1,0.04,0
299900,netbanking,churned,9,5,insufficient_funds,8,2,0,0.15,0
499900,netbanking,high_value,23,4,otp_timeout,8,3,1,0.17,1
99900,netbanking,high_value,10,0,ambiguous_timeout,9,4,1,0.38,0
999900,wallet,churned,1,4,card_expired,10,4,1,0.55,0
299900,card,new,17,3,bank_server_timeout,6,3,0,0.52,0
1499900,upi,high_value,11,4,otp_timeout,11,0,0,0.47,1
1499900,upi,returning,13,6,ambiguous_timeout,11,5,0,0.58,1
499900,upi,new,17,2,otp_timeout,8,1,0,0.62,1
199900,card,high_value,0,1,otp_timeout,8,0,0,0.02,0
299900,netbanking,churned,5,3,insufficient_funds,7,0,1,0.01,0
149900,netbanking,churned,21,3,bank_server_timeout,3,4,0,0.32,0
199900,upi,high_value,1,3,insufficient_funds,6,3,0,0.01,0
199900,netbanking,returning,19,4,otp_timeout,7,2,0,0.07,0
99900,netbanking,churned,9,3,ambiguous_timeout,2,3,0,0.95,0
999900,upi,high_value,17,3,ambiguous_timeout,8,4,1,0.53,0
499900,card,high_value,15,4,generic_decline,12,3,1,0.91,0
999900,netbanking,high_value,19,2,generic_decline,8,4,0,0.98,0
1499900,wallet,high_value,11,5,otp_timeout,2,2,1,0.18,0
99900,card,high_value,16,0,insufficient_funds,10,3,1,0.22,0
199900,netbanking,new,7,0,ambiguous_timeout,11,2,0,0.06,0
499900,card,high_value,14,2,insufficient_funds,5,2,1,0.3,0
299900,wallet,churned,19,4,generic_decline,1,4,1,0.27,0
299900,upi,returning,20,3,card_expired,8,0,0,0.47,0
149900,wallet,churned,2,1,generic_decline,9,5,1,0.31,0
1499900,upi,high_value,15,6,card_expired,6,1,0,0.78,0
149900,netbanking,churned,20,2,ambiguous_timeout,12,1,1,0.34,0
99900,wallet,high_value,3,2,card_expired,8,2,1,0.56,0
49900,wallet,new,5,1,otp_timeout,0,0,0,0.33,0
99900,wallet,new,1,3,otp_timeout,11,2,0,0.25,0
49900,card,new,11,1,card_expired,11,1,1,0.19,0
199900,wallet,new,16,0,ambiguous_timeout,7,0,1,0.04,0
49900,upi,churned,4,3,card_expired,1,3,0,0.44,0
99900,card,high_value,1,3,bank_server_timeout,6,0,1,0.6,1
99900,upi,churned,3,2,card_expired,11,4,1,0.53,0
49900,wallet,churned,21,4,card_expired,9,3,1,0.98,0
49900,card,returning,22,2,bank_server_timeout,4,0,1,0.54,1
49900,upi,new,7,0,generic_decline,3,1,1,0.86,1
499900,wallet,new,2,6,otp_timeout,1,4,1,0.41,0
199900,netbanking,churned,10,3,generic_decline,7,3,1,0.89,0
49900,wallet,churned,2,5,bank_server_timeout,6,2,0,0.0,0
499900,card,new,19,2,generic_decline,8,2,0,0.25,1
499900,card,churned,7,1,card_expired,5,0,0,0.39,0
1499900,card,new,1,5,generic_decline,4,2,1,0.6,0
199900,wallet,high_value,7,4,ambiguous_timeout,5,0,1,0.46,0
49900,card,high_value,1,5,bank_server_timeout,8,3,1,0.5,0
299900,wallet,churned,2,4,bank_server_timeout,9,5,1,0.77,0
99900,upi,high_value,13,6,insufficient_funds,5,0,1,0.67,1
149900,netbanking,returning,9,4,otp_timeout,7,2,0,0.61,0
99900,wallet,new,18,6,card_expired,3,4,0,0.39,0
49900,wallet,new,7,6,card_expired,3,1,0,0.5,0
149900,card,churned,15,4,generic_decline,7,1,0,0.29,0
149900,wallet,churned,20,6,ambiguous_timeout,6,0,0,0.73,0
1499900,netbanking,new,12,4,generic_decline,10,3,1,0.7,0
